"","week","franchise_id","franchise_name","franchise_score","result","opponent_id","opponent_name","opponent_score","game_id","isFinalScore","isDivisional","isPlayoffs","isThirdPlaceGame","isChampionshipGame"
"1291",12,880727,"Trancemark Troublemakers",116.1,"WIN",880716,"thequicknthedead’s Sloppy Steaks",104.64,"50883836",TRUE,TRUE,NA,NA,NA
"1292",12,880886,"HiredGoon's Mud is a Food",108.82,"LOSE",880715,"Basedinspace's Lobos",128,"50883834",TRUE,TRUE,NA,NA,NA
"1293",12,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",114.06,"LOSE",1315309,"GoldenFalcon's GoldenFalcons",152.84,"50883835",TRUE,TRUE,NA,NA,NA
"1294",12,1084591,"sakuraba39",138.5,"WIN",1171752,"Wocao",115.2,"50883837",TRUE,TRUE,NA,NA,NA
"1295",12,1252730,"Show Me Your TDs",85.2,"LOSE",880747,"Olave Garden",95.52,"50883838",TRUE,TRUE,NA,NA,NA
"1296",12,1252734,"ogin's Iowa’s Offensive Offense",174.34,"WIN",1316968,"Gonzofisted Slurms",107.22,"50883839",TRUE,TRUE,NA,NA,NA
"1297",13,1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",107.1,"LOSE",880715,"Basedinspace's Lobos",159.02,"50883840",TRUE,TRUE,NA,NA,NA
"1298",13,1084591,"sakuraba39",135.44,"WIN",880716,"thequicknthedead’s Sloppy Steaks",100.7,"50883842",TRUE,TRUE,NA,NA,NA
"1299",13,1171752,"Wocao",139.8,"WIN",880727,"Trancemark Troublemakers",126.64,"50883843",TRUE,TRUE,NA,NA,NA
"1300",13,1252734,"ogin's Iowa’s Offensive Offense",152.1,"WIN",880747,"Olave Garden",76.76,"50883844",TRUE,TRUE,NA,NA,NA
"1301",13,1315309,"GoldenFalcon's GoldenFalcons",98.66,"WIN",880886,"HiredGoon's Mud is a Food",91.02,"50883841",TRUE,TRUE,NA,NA,NA
"1302",13,1316968,"Gonzofisted Slurms",110.2,"LOSE",1252730,"Show Me Your TDs",133.78,"50883845",TRUE,TRUE,NA,NA,NA
"1303",13,880715,"Basedinspace's Lobos",159.02,"WIN",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",107.1,"50883840",TRUE,TRUE,NA,NA,NA
"1304",13,880716,"thequicknthedead’s Sloppy Steaks",100.7,"LOSE",1084591,"sakuraba39",135.44,"50883842",TRUE,TRUE,NA,NA,NA
"1305",13,880727,"Trancemark Troublemakers",126.64,"LOSE",1171752,"Wocao",139.8,"50883843",TRUE,TRUE,NA,NA,NA
"1306",13,880747,"Olave Garden",76.76,"LOSE",1252734,"ogin's Iowa’s Offensive Offense",152.1,"50883844",TRUE,TRUE,NA,NA,NA
